S.No.,Date,Day,Subject,Timings,Approx_Hour,Remark,Cumulative_Hour,,,
41,"June 19,2021",Saturday,Maths,3:00-4:00pm,1,Assignment given,45.5,,,
Sunday,,,,,,,,,,
42,"June 21,2021",Monday,Maths,3:00-4:00pm,1,Assignment given,46.5,,,
43,"June 21,2021",Monday,Physics/IT,5:00-7:00pm,2,,48.5,,,
44,"June 22,2021",Tuesday,Maths,3:30-5:00pm,1.5,,50,,,
45,"June 22,2021",Tuesday,Physics,5:30-7:00pm,1.5,,51.5,,,
46,"June 23,2021",Wednesday,Physics,6:15-7:15pm,1,"Unit 2,Ch-2 completed",52.5,,,
47,"June 23,2021",Wednesday,CS,5:00-6:0pm,1,,53.5,,,
48,"June 23,2021",Wednesday,Maths,3:15-4:30pm,1.5,,55,,,
49,"June 24,2021",Thursday,CS,4:30-5:30am,1,,56,,,
50,"June 24,2021",Thursday,Maths,3:00-4:00pm,1,Maths Test Done at 6:30am (Result=13/30),57,,,
51,"June 24,2021",Thursday,Physics,6:00-7:00pm,1,,58,,,
52,"June 25,2021",Friday,CS,4:30-5:30am,1,,59,,,
53,"June 25,2021",Friday,Maths,3:00-4:00pm,1,Chapter 1 completed,60,,,
54,"June 25,2021",Friday,Physics,6:00-7:00pm,1,,61,,,
55,"June 26,2021",Saturday,Maths,2:30-3:30am,1,Assignment given,62,,,
56,"June 26,2021",Saturday,CS,5:30-6:30pm,1,,63,,,
SUNDAY,,,,,,Chemistry Test Done at 12:00pm (Result=13/20),,,,
57,"June 28,2021",Monday,CS,5:30-6:30pm,1,,64,,,
58,"June 28,2021",Monday,Maths,4:00-5;00pm,1,Chapter 5 Ongoing,65,,,
59,"June 28,2021",Monday,Physics,2:30-3:30pm,1,"Unit 2,Ch-3 Ongoing",66,,,
60,"June 29,2021",Tuesday,CS,4:30-5:30pm,1,,67,,,
61,"June 29,2021",Tuesday,Physics,3:00-4:00pm,1,Physics Test Done at 6:30am (Result=18/20),68,,,
62,"June 30,2021",Wednesday,CS,4:30-5:30pm,1,CS Test Done at 4:30am (Result=16/25),69,,,
63,"June 30,2021",Wednesday,Maths,6:30-7:30pm,1,Test discussion,70,,,
Month Completed,,,,,,,,,,
"Remark-Student is performing good, but there might be, lack of concentration during classes. So, need to workout on it.",,,,,,,,,,
